pair,pair_score_test,llr
130,1.5,0.7676
131,0.5,0.7128
132,2.0,0.8101
133,0.5,0.7564
134,1.5,0.8138
135,2.0,0.9082
136,1.0,0.9164
137,1.0,0.9246
138,1.0,0.9328
139,0.5,0.8787
140,1.5,0.9364
141,1.0,0.9446
142,1.0,0.9528
143,0.5,0.8979
144,1.0,0.9057
145,0.5,0.8505
146,1.0,0.8579
147,1.0,0.8654
148,0.5,0.8096
149,0.5,0.754
150,1.0,0.7606
151,0.5,0.7048
152,1.0,0.711
153,1.0,0.7173
154,2.0,0.8197
155,0.5,0.7641
156,2.0,0.8642
157,1.5,0.9225
158,1.0,0.9299
159,0.5,0.8748
160,0.0,0.7496
161,0.5,0.696
162,1.0,0.7019
163,1.5,0.7594
164,1.5,0.8171
165,0.5,0.7629
166,0.5,0.7088
167,1.5,0.7664
168,2.0,0.8653
169,1.0,0.872
170,1.0,0.8787
171,0.5,0.8247
172,1.5,0.8823
173,1.0,0.889
174,1.5,0.9469
175,1.5,1.0051
176,1.0,1.0124
177,1.5,1.071
178,1.0,1.0786
179,0.0,0.9506
180,1.0,0.9575
181,0.5,0.903
182,1.5,0.961
183,1.0,0.9678
184,0.5,0.913
185,1.0,0.9195
186,1.0,0.9261
187,0.5,0.8707
188,1.5,0.9295
189,1.5,0.9883
190,1.5,1.0473
191,1.0,1.0544
192,1.0,1.0615
193,0.5,1.0053
194,1.0,1.0121
195,1.0,1.019
196,1.5,1.0791
197,0.5,1.0222
198,0.5,0.9655
199,1.0,0.972
200,1.0,0.9785
201,0.5,0.9214
202,1.5,0.9817
203,1.5,1.0422
204,1.0,1.049
205,0.5,0.9914
206,1.5,1.0521
207,1.0,1.0589
208,0.5,1.0011
209,1.0,1.0075
210,1.0,1.014
211,0.5,0.9557
212,1.0,0.9619
213,1.5,1.0236
214,0.5,0.965
215,0.5,0.9066
216,1.5,0.9681
217,0.0,0.8379
218,0.5,0.7805
219,0.5,0.7233
220,1.5,0.7838
221,0.5,0.7265
222,1.5,0.787
223,1.0,0.7922
224,1.5,0.853
225,1.0,0.8585
226,0.0,0.7314
227,0.5,0.6745
228,0.0,0.5519
229,0.0,0.4328
230,0.5,0.3776
231,0.5,0.3225
232,1.0,0.3255
233,0.5,0.2701
234,0.5,0.2147
235,1.5,0.2734
236,1.5,0.3321
237,1.5,0.3908
238,1.0,0.3941
239,1.0,0.3974
240,1.5,0.4566
241,1.0,0.4602
242,1.0,0.4638
243,1.5,0.5235
244,0.5,0.4671
245,1.5,0.5268
246,2.0,0.6368
247,2.0,0.7444
248,1.0,0.749
249,0.5,0.6937
250,1.5,0.7524
251,1.0,0.757
252,0.5,0.7014
253,0.0,0.5819
254,0.5,0.5271
255,1.0,0.5308
256,0.0,0.4143
257,1.0,0.4175
258,1.5,0.4754
259,0.5,0.4208
260,1.0,0.4241
261,1.5,0.4822
262,0.0,0.3668
263,1.0,0.3698
264,1.0,0.3728
265,1.5,0.4308
266,1.0,0.434
267,0.5,0.3792
268,1.0,0.3822
269,2.0,0.4919
270,1.0,0.4953
271,0.5,0.4407
272,1.5,0.4987
273,1.0,0.5021
274,0.0,0.3866
275,0.5,0.3323
276,1.5,0.3899
277,0.5,0.3356
278,0.5,0.2813
279,1.5,0.3389
280,1.0,0.3417
281,1.0,0.3446
282,0.5,0.2899
283,0.0,0.177
284,2.0,0.2872
285,2.0,0.3953
286,1.0,0.3983
287,1.5,0.4548
288,1.0,0.458
289,1.0,0.4611
290,0.5,0.4075
291,1.0,0.4105
292,0.5,0.3567
293,1.0,0.3595
294,1.0,0.3624
295,1.0,0.3652
296,0.5,0.3108
297,1.0,0.3135
298,1.0,0.3162
299,0.0,0.203
